,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,72877,-,-,-,32.85,-116.94,-8,149,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.2.0
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2020,1,2,15,30,197,60,575,0.8,19.400000000000002,76.19,998,41.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2020,1,2,16,30,31,25,98,0.7000000000000001,15.3,86.4,1000,62.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2020,1,2,17,30,0,0,0,1,14.200000000000001,97.91,1000,60.480000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2020,1,2,18,30,0,0,0,1.3,13.600000000000001,109.84,1001,61.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2020,1,2,19,30,0,0,0,1.4000000000000001,13.200000000000001,122.17,1002,61.160000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2020,1,2,20,30,0,0,0,1.4000000000000001,13,134.72,1002,60.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2020,1,2,21,30,0,0,0,1.4000000000000001,12.9,147.27,1003,58.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2020,1,2,22,30,0,0,0,1.4000000000000001,12.8,159.38,1003,57.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2020,1,2,23,30,0,0,0,1.5,12.5,168.9,1004,57.050000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2020,1,3,0,30,0,0,0,1.5,12.200000000000001,166.94,1004,56.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2020,1,3,1,30,0,0,0,1.5,12.100000000000001,156.21,1004,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2020,1,3,2,30,0,0,0,1.5,12.200000000000001,143.89000000000001,1004,53.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2020,1,3,3,30,0,0,0,1.5,12,131.31,1005,53.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2020,1,3,4,30,0,0,0,1.6,11.600000000000001,118.8,1005,53.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2020,1,3,5,30,0,0,0,1.7000000000000002,11.100000000000001,106.55,1005,54.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2020,1,3,6,30,0,0,0,1.8,11.5,94.76,1006,53.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2020,1,3,7,30,83,35,428,2.2,14.100000000000001,83.53,1007,50.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2020,1,3,8,30,269,49,779,2.9000000000000004,17.3,73.58,1007,44.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2020,1,3,9,30,431,60,884,3.4000000000000004,19.3,65.15,1008,37.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2020,1,3,10,30,546,66,931,3.3000000000000003,20.700000000000003,59,1008,32.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2020,1,3,11,30,601,69,949,2.9000000000000004,21.700000000000003,55.9,1008,29.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2020,1,3,12,30,569,81,882,2.5,22,56.38,1007,28.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2020,1,3,13,30,449,116,673,2.2,21.8,60.33,1007,28.580000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2020,1,3,14,30,361,68,755,1.6,20.700000000000003,67.16,1008,31.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2020,1,3,15,30,218,53,685,1.1,19.8,76.05,1008,41.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2020,1,3,16,30,46,26,312,0.9,15.8,86.26,1009,55.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2020,1,3,17,30,0,0,0,1.1,14.3,97.77,1009,57.370000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2020,1,3,18,30,0,0,0,1.3,13.4,109.7,1010,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2020,1,3,19,30,0,0,0,1.3,12.9,122.04,1010,59.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2020,1,3,20,30,0,0,0,1.4000000000000001,12.8,134.58,1010,56.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2020,1,3,21,30,0,0,0,1.3,12.8,147.14000000000001,1010,53.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2020,1,3,22,30,0,0,0,1.3,12.9,159.24,1010,49.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2020,1,3,23,30,0,0,0,1.2000000000000002,12.9,168.76,1010,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2020,1,4,0,30,0,0,0,1.2000000000000002,12.700000000000001,166.93,1010,46.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2020,1,4,1,30,0,0,0,1.1,12.600000000000001,156.25,1010,44.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2020,1,4,2,30,0,0,0,1.1,12.8,143.95000000000002,1010,41.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2020,1,4,3,30,0,0,0,0.9,12.700000000000001,131.36,1010,40.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2020,1,4,4,30,0,0,0,0.8,12.5,118.85000000000001,1010,41.050000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2020,1,4,5,30,0,0,0,0.8,12.100000000000001,106.59,1010,42.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2020,1,4,6,30,0,0,0,0.8,12.200000000000001,94.79,1011,41.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2020,1,4,7,30,88,34,482,0.8,13.9,83.55,1011,42.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2020,1,4,8,30,270,54,763,1,16.5,73.58,1011,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2020,1,4,9,30,435,66,878,1.2000000000000002,19,65.12,1011,33.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2020,1,4,10,30,553,72,932,1.8,21.200000000000003,58.94,1011,31.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2020,1,4,11,30,610,74,954,2.3000000000000003,22.200000000000003,55.81,1010,29.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2020,1,4,12,30,602,74,950,2.5,22.400000000000002,56.26,1009,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2020,1,4,13,30,529,71,922,2.6,22,60.2,1009,31.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2020,1,4,14,30,399,63,860,2.1,20.8,67.01,1009,35.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2020,1,4,15,30,227,51,724,1.7000000000000002,19.8,75.91,1009,48.730000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2020,1,4,16,30,32,26,87,1.4000000000000001,15.4,86.12,1009,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2020,1,4,17,30,0,0,0,1.5,14.4,97.62,1009,62.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2020,1,4,18,30,0,0,0,1.6,13.700000000000001,109.56,1009,62.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2020,1,4,19,30,0,0,0,1.7000000000000002,13.100000000000001,121.9,1010,63.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2020,1,4,20,30,0,0,0,1.7000000000000002,12.600000000000001,134.44,1010,62.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2020,1,4,21,30,0,0,0,1.7000000000000002,12.3,147,1009,61.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2020,1,4,22,30,0,0,0,1.6,12,159.1,1009,59.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2020,1,4,23,30,0,0,0,1.6,11.8,168.62,1009,57.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2020,1,5,0,30,0,0,0,1.6,11.700000000000001,166.91,1009,55.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2020,1,5,1,30,0,0,0,1.5,11.700000000000001,156.28,1009,53.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2020,1,5,2,30,0,0,0,1.3,11.700000000000001,143.99,1009,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2020,1,5,3,30,0,0,0,1.2000000000000002,11.600000000000001,131.42000000000002,1009,51.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2020,1,5,4,30,0,0,0,1.2000000000000002,11.4,118.9,1009,52.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2020,1,5,5,30,0,0,0,1.3,11.100000000000001,106.63,1009,53.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2020,1,5,6,30,0,0,0,1.3,11.200000000000001,94.81,1010,53.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2020,1,5,7,30,87,34,472,1.3,13.100000000000001,83.56,1010,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2020,1,5,8,30,270,55,759,1.5,15.9,73.57000000000001,1010,50.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2020,1,5,9,30,434,66,873,1.3,18.5,65.09,1010,39.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2020,1,5,10,30,550,72,924,1.2000000000000002,20.6,58.870000000000005,1009,34.550000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2020,1,5,11,30,608,76,945,1.6,21.700000000000003,55.71,1008,32.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2020,1,5,12,30,600,77,939,2.1,22.200000000000003,56.13,1007,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2020,1,5,13,30,530,76,910,2.4000000000000004,22,60.06,1007,33.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2020,1,5,14,30,400,69,843,2.1,20.8,66.86,1007,37.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2020,1,5,15,30,227,54,701,1.8,19.8,75.75,1007,50.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2020,1,5,16,30,51,28,332,1.5,15.5,85.98,1007,65.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2020,1,5,17,30,0,0,0,1.5,13.9,97.48,1008,67.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2020,1,5,18,30,0,0,0,1.7000000000000002,12.8,109.42,1008,72.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2020,1,5,19,30,0,0,0,1.9000000000000001,12.200000000000001,121.75,1008,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2020,1,5,20,30,0,0,0,2,11.9,134.3,1009,68.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2020,1,5,21,30,0,0,0,2.2,11.5,146.85,1009,66.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2020,1,5,22,30,0,0,0,2.5,11.200000000000001,158.95000000000002,1008,62.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2020,1,5,23,30,0,0,0,2.8000000000000003,10.9,168.48,1008,58.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2020,1,6,0,30,0,0,0,2.9000000000000004,10.600000000000001,166.88,1008,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2020,1,6,1,30,0,0,0,2.6,10.3,156.31,1008,51.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2020,1,6,2,30,0,0,0,2.3000000000000003,10.5,144.04,1008,50.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2020,1,6,3,30,0,0,0,2.2,10.8,131.46,1008,50.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2020,1,6,4,30,0,0,0,2.1,11,118.94,1009,50.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2020,1,6,5,30,0,0,0,2.2,10.8,106.67,1009,50.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2020,1,6,6,30,0,0,0,2.2,11.5,94.84,1009,46.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2020,1,6,7,30,96,31,579,2.7,14.100000000000001,83.57000000000001,1010,42.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2020,1,6,8,30,286,48,841,3.5,17.400000000000002,73.55,1011,38.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2020,1,6,9,30,455,58,941,4.4,19.5,65.05,1011,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2020,1,6,10,30,576,67,983,5.1000000000000005,20.8,58.800000000000004,1011,24.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2020,1,6,11,30,636,73,997,5.1000000000000005,21.6,55.61,1010,22.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2020,1,6,12,30,622,75,978,4.800000000000001,21.900000000000002,56,1010,21.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2020,1,6,13,30,546,73,943,4.4,21.700000000000003,59.910000000000004,1009,22.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2020,1,6,14,30,414,67,877,3.6,20.400000000000002,66.71000000000001,1009,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2020,1,6,15,30,238,54,740,3.1,19.400000000000002,75.60000000000001,1009,34.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2020,1,6,16,30,56,27,394,2.4000000000000004,14.3,85.83,1009,48.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2020,1,6,17,30,0,0,0,2.5,12.9,97.33,1009,48.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2020,1,6,18,30,0,0,0,2.7,12.3,109.27,1009,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2020,1,6,19,30,0,0,0,2.8000000000000003,11.9,121.61,1009,47.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2020,1,6,20,30,0,0,0,2.8000000000000003,11.600000000000001,134.16,1009,48.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2020,1,6,21,30,0,0,0,2.8000000000000003,11.600000000000001,146.71,1009,48.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2020,1,6,22,30,0,0,0,2.8000000000000003,11.5,158.8,1008,48.910000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2020,1,6,23,30,0,0,0,2.7,11.4,168.33,1008,49.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2020,1,7,0,30,0,0,0,2.7,11.200000000000001,166.84,1008,50.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2020,1,7,1,30,0,0,0,2.7,11.4,156.34,1008,50.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2020,1,7,2,30,0,0,0,2.8000000000000003,11.5,144.08,1007,50.410000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2020,1,7,3,30,0,0,0,2.9000000000000004,11.5,131.5,1007,50.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2020,1,7,4,30,0,0,0,3.1,11.5,118.97,1006,49.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2020,1,7,5,30,0,0,0,3.3000000000000003,11.4,106.69,1006,49.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2020,1,7,6,30,0,0,0,3.5,12,94.85000000000001,1006,46.160000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2020,1,7,7,30,83,38,405,3.9000000000000004,13.9,83.57000000000001,1006,41.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2020,1,7,8,30,275,57,769,4.4,16.2,73.53,1006,37.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2020,1,7,9,30,443,70,883,4.5,18.2,65,1006,32.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2020,1,7,10,30,562,77,934,4.2,19.700000000000003,58.72,1005,31.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2020,1,7,11,30,622,81,955,3.7,20.900000000000002,55.49,1004,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2020,1,7,12,30,599,94,900,3.2,21.400000000000002,55.86,1003,28.240000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2020,1,7,13,30,542,78,922,2.6,21,59.75,1003,29.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2020,1,7,14,30,411,70,856,1.7000000000000002,19.6,66.55,1003,35.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
